Q216400,Q2229738
Q184226,Q22084380
Q57954,Q28056489
Q965535,Q12184272
Q1187856,Q49529109
Q131149,Q3225207
Q344080,Q7261447
Q12706,Q6010329
Q1206866,Q4039564
Q183492,Q5215475
Q123469,Q7743319
Q184226,Q22084381
Q313185,Q2234253
Q274705,Q18509169
Q13129891,Q20568518
Q324944,Q3225219
Q216195,Q6010365
Q184226,Q22084382
Q4964670,Q7743320
Q59112,Q2234406
Q242130,Q5215477
Q761368,Q7261540
Q293497,Q12184299
Q462604,Q18510544
Q343562,Q6010394
Q263552,Q16495160
Q5858226,Q28056811
Q4760985,Q7261575
Q333123,Q3225223
Q181659,Q5215524
Q184226,Q22084383
Q47737,Q12184301
Q5170359,Q7743388
Q350404,Q2234863
Q237420,Q18516245
Q472071,Q6010446
Q316610,Q4040445
Q578031,Q4040445
Q2824209,Q49612708
Q102513,Q2222
Q184226,Q22084384
Q1356200,Q7261587
Q369398,Q5215537
Q13129891,Q20568530
Q5325559,Q6010449
Q559012,Q28057180
Q166351,Q2235177
Q356429,Q7743432
Q237420,Q18516256
Q1304934,Q22084519
Q49620141,Q49618484
Q6883414,Q4040446
Q173540,Q2870
Q1976171,Q8073237
Q47124657,Q20568532
Q742319,Q12184385
Q1354212,Q7743438
Q562133,Q3225234
Q4355090,Q6010479
Q5858226,Q28057299
Q18609297,Q7261590
Q3325522,Q4040802
Q1058,Q49621806
Q9049,Q2236114
Q606389,Q16495804
Q966930,Q22084619
Q4671,Q4672
Q277308,Q8073247
Q4062223,Q18517268
Q713222,Q3225235
Q283659,Q5215549
Q726071,Q7743477
Q7427857,Q7743477
Q446879,Q28057311
Q509002,Q6010524
Q12345231,Q16495813
Q360961,Q4041011
Q44850713,Q49622685
Q230169,Q2236701
Q1357524,Q7261591
Q210059,Q4710
Q559012,Q8073322
Q44272,Q22084641
Q3161932,Q7743479
Q237420,Q18517323
Q5248331,Q6010618
Q401463,Q12184427
Q1530913,Q5215551
Q3419229,Q3225238
Q4225309,Q28057394
Q2382526,Q7261592
Q451947,Q49676299
Q3071099,Q49676299
Q3504530,Q16496102
Q295431,Q4784
Q16212769,Q2236722
Q2347996,Q4041483
Q44272,Q22084644
Q747808,Q8073328
Q18517627,Q18517633
Q18517629,Q18517633
Q2717838,Q20568545
Q7152013,Q5215577
Q1373183,Q6010626
Q17485852,Q49677299
Q298827,Q3225240
Q44272,Q22084651
Q461075,Q7261728
Q533706,Q2236789
Q6145872,Q4041549
Q1292432,Q4041549
Q528826,Q4791
Q28057667,Q28057675
Q12181795,Q12184536
Q3513911,Q6010666
Q521589,Q8073404
Q577495,Q49679964
Q7408180,Q7743517
Q44272,Q22084661
Q2861548,Q4041760
Q2211070,Q3225249
Q932343,Q16496299
Q4731,Q4795
Q5686,Q2237117
Q47113833,Q6010680
Q47102,Q7743527
Q12227911,Q12184675
Q44272,Q22084662
Q508939,Q28057684
Q65090,Q4042361
Q28876,Q49723628
Q123469,Q18518702
Q6951629,Q5215685
Q5825273,Q16496513
Q720306,Q4804
Q966228,Q8073561
Q551749,Q3225269
Q5271470,Q7261793
Q215868,Q6010686
Q44272,Q22084664
Q1927976,Q2237243
Q15830003,Q28057763
Q376678,Q12184681
Q4285907,Q4042759
Q7145893,Q5215992
Q21086290,Q7743532
Q180589,Q5825
Q381920,Q18520172
Q18535906,Q20568559
Q217557,Q8073730
Q12178856,Q12184687
Q107002,Q7262103
Q1684968,Q3225273
Q6148181,Q6010689
Q1868595,Q2238122
Q3102251,Q49789549
Q2712435,Q16496682
Q18523894,Q18523844
Q18523895,Q18523844
Q216134,Q7743555
Q47124932,Q20568560
Q6882,Q6507
Q318470,Q4043834
Q232260,Q7262152
Q325389,Q8073738
Q317142,Q2238230
Q44272,Q22084669
Q671168,Q3225278
Q61723,Q49803769
Q526057,Q8073740
Q3269234,Q18524038
Q336112,Q7262292
Q44272,Q22084670
Q965375,Q2238828
Q79025,Q7743629
Q6053978,Q6010698
Q46248,Q4045046
Q917004,Q5216018
Q551570,Q3225281
Q49173665,Q49815490
Q559409,Q8073757
Q44272,Q22084671
Q12205851,Q12184795
Q6882,Q6511
Q3369844,Q3225283
Q18534617,Q18534614
Q47113941,Q6010739
Q446597,Q2239120
Q15405,Q4045638
Q718463,Q5216039
Q577978,Q7262345
Q183492,Q7743645
Q206518,Q28059714
Q5293426,Q8073788
Q3401615,Q18535413
Q327186,Q2239800
Q162917,Q3225290
Q12205851,Q12184796
Q44272,Q22084672
Q346451,Q4045639
Q47122793,Q20568578
Q5431180,Q8073791
Q315744,Q6010741
Q260730,Q7743650
Q1354569,Q7262396
Q3554270,Q49855708
Q369206,Q5216040
Q18535410,Q18535421
Q2333094,Q28059718
Q128790,Q3225292
Q437798,Q2239820
Q175669,Q4046261
Q44272,Q22084674
Q9546,Q12184806
Q2722564,Q7743672
Q3554270,Q49856102
Q1044648,Q5216042
Q534599,Q6010745
Q281235,Q16500779
Q3595861,Q7743679
Q1268517,Q28060756
Q731866,Q12184810
Q985138,Q18535423
Q347461,Q2240456
Q44272,Q22084675
Q4583,Q6911
Q3402032,Q20568582
Q5666786,Q8073923
Q3395844,Q18535425
Q434695,Q5216069
Q7498774,Q20568590
Q293571,Q12184812
Q44272,Q22084677
Q3513969,Q6010748
Q5673,Q2240648
Q7176,Q7743683
Q1567034,Q7262491
Q11767819,Q28060958
Q49905054,Q49904845
Q318667,Q3225300
Q18535590,Q18535429
Q47124848,Q20568591
Q724874,Q8073936
Q6205108,Q7743685
Q455780,Q4048595
Q44272,Q22084678
Q85345,Q6010754
Q92830,Q6010754
Q2659798,Q6010754
Q706794,Q2241402
Q5232099,Q5216070
Q188623,Q49957924
Q11005077,Q18535430
Q6318053,Q7743694
Q37151,Q8251
Q11767819,Q28061034
Q174181,Q22087226
Q27140454,Q20568593
Q5080581,Q5216073
Q451379,Q2241446
Q188623,Q49959654
Q1108739,Q6010801
Q471413,Q4048973
Q3250688,Q18535433
Q1066076,Q7743705
Q729117,Q7743705
Q1158494,Q8073948
Q7366854,Q8073948
Q28061098,Q28061106
Q28061099,Q28061106
Q366091,Q3225326
Q2700188,Q16501761
Q18535901,Q20568600
Q2830554,Q18535436
Q1537994,Q6010840
Q182874,Q8265
Q188623,Q49959668
Q4963238,Q4049820
Q682767,Q2241505
Q1353378,Q8074034
Q2209781,Q22087263
Q28061098,Q28061107
Q28061099,Q28061107
Q6112002,Q5216097
Q720562,Q5216097
Q242571,Q3225355
Q47119206,Q18535437
Q152505,Q7743708
Q365664,Q6010867
Q47124855,Q20568603
Q188623,Q49959682
Q3818171,Q12184916
Q132805,Q2242029
Q12792162,Q8074044
Q81731,Q8269
Q90617,Q22087539
Q28061098,Q28061108
Q28061099,Q28061108
Q291890,Q3225356
Q333123,Q5216099
Q4502791,Q4049821
Q6785827,Q7263102
Q16731066,Q7743711
Q15215584,Q6010897
Q5332730,Q8074090
Q188623,Q49959696
Q6145873,Q7263290
Q6847978,Q7263290
Q965375,Q2243146
Q568386,Q22087573
Q443306,Q3225361
Q160627,Q18535439
Q28061098,Q28061109
Q28061099,Q28061109
Q728706,Q16503540
Q43459,Q8279
Q12193844,Q12184919
Q718463,Q20568610
Q4069864,Q4049822
Q1837775,Q5216108
Q433325,Q6010966
Q457923,Q7743722
Q2568079,Q2245267
Q238124,Q8074169
Q913403,Q22087585
Q18535410,Q18535441
Q346451,Q4050509
Q188623,Q49959715
Q5504807,Q16503785
Q28061098,Q28061110
Q28061099,Q28061110
Q2714592,Q3225363
Q47124864,Q20568614
Q1442418,Q2245576
Q474194,Q2245576
Q274178,Q2245576
Q8068403,Q6010989
Q461675,Q7743726
Q5623809,Q18535442
Q6767467,Q8074308
Q552911,Q4051023
Q3419105,Q22090441
Q9038,Q8369
Q2019161,Q12184971
Q188623,Q49959728
Q446941,Q5216161
Q1394,Q16506950
Q4128,Q3225372
Q28061098,Q28061111
Q28061099,Q28061111
Q6851020,Q6011074
Q529399,Q20568617
Q477210,Q7264069
Q5623809,Q18535447
Q585748,Q8074453
Q449085,Q8563
Q706794,Q2245607
Q2757835,Q7743731
Q35610,Q22090538
Q188623,Q49959742
Q28061098,Q28061112
Q28061099,Q28061112
Q334857,Q12184983
Q126373,Q16507008
Q49478,Q3225376
Q83059,Q5216182
Q356568,Q2246472
Q3402447,Q18535449
Q2420498,Q18535449
Q539221,Q6011102
Q718463,Q20568620
Q188623,Q49959757
Q365955,Q8650
Q3179103,Q4051125
Q47118169,Q8074974
Q47118178,Q8074974
Q6065174,Q7743737
Q4703267,Q12184984
Q3417918,Q7264850
Q80900,Q16508346
Q1963422,Q5216301
Q2797004,Q2246699
Q3185923,Q3225384
Q5673,Q22093309
Q5623809,Q18535454
Q40826,Q6011110
Q188623,Q49959774
Q1512,Q10202
Q333600,Q20568624
Q187019,Q8074991
Q975764,Q7265217
Q5240955,Q4051232
Q4179607,Q16508504
Q969533,Q12184990
Q738615,Q2246722
Q15488794,Q5216607
Q188623,Q49959794
Q472071,Q8075113
Q321185,Q6011137
Q550819,Q7743742
Q301951,Q3225410
Q22087853,Q22093431
Q37230,Q11191
Q319447,Q16508696
Q6533366,Q12185029
Q284025,Q6011328
Q108476,Q5217408
Q188623,Q49959810
Q6236036,Q7743743
Q508452,Q2246739
Q2594458,Q8075192
Q918655,Q22093506
Q310341,Q22093506
Q1351554,Q7265293
Q305962,Q12185032
Q80900,Q16509916
Q5217701,Q5217709
Q5386843,Q20568636
Q317491,Q2246747
Q2717838,Q18535457
Q240576,Q11336
Q2915985,Q7743745
Q62981,Q22095555
Q188623,Q49959831
Q6396491,Q3225411
Q7521264,Q4051340
Q326467,Q6011356
Q2227475,Q8075193
Q16511911,Q16510538
Q1351554,Q7265306
Q57656,Q22095579
Q241615,Q7743774
Q1987300,Q2246921
Q11005077,Q18535461
Q228624,Q11678
Q188623,Q49959845
Q1175669,Q4051564
Q105167,Q4051564
Q268582,Q3225420
Q269129,Q7265382
Q6471266,Q16510906
Q4120098,Q12185054
Q311671,Q5219134
Q238970,Q2246971
Q454648,Q8075599
Q918553,Q7743776
Q715932,Q16511693
Q255339,Q3225437
Q6249473,Q18535462
Q188623,Q49959863
Q39246,Q7265419
Q336125,Q6011521
Q11620777,Q22098871
Q311671,Q5219135
Q47124657,Q20568649
Q2793,Q11829
Q326644,Q8076010
Q672816,Q2247155
Q1165276,Q4052755
Q80900,Q16511845
Q18535635,Q18535465
Q188623,Q49959876
Q38049,Q6011566
Q51101,Q22099123
Q441214,Q7743783
Q3102462,Q3225473
Q369907,Q7265761
Q202693,Q2247404
Q2827445,Q12185118
Q47561,Q16511856
Q188623,Q49959890
Q650542,Q8076011
Q18535469,Q18535470
Q12997783,Q22110356
Q5108329,Q5219914
Q15485954,Q7743796
Q2966014,Q3225481
Q231781,Q2247431
Q3398492,Q20568657
Q6149478,Q8076012
Q13230,Q13231
Q1272543,Q16511927
Q271766,Q4053136
Q346523,Q49977098
Q34189,Q5219975
Q725745,Q18535471
Q6761909,Q7743814
Q587083,Q7267714
Q13129891,Q20568659
Q7175367,Q8076351
Q504696,Q2247783
Q192214,Q3225495
Q346523,Q49977269
Q80900,Q16512119
Q3318665,Q12185157
Q310379,Q13911
Q1649115,Q4053639
Q472734,Q5220302
Q1260551,Q22111893
Q105756,Q6011844
Q2830554,Q18535472
Q13129891,Q20568665
Q369206,Q7743845
Q977682,Q2247913
Q6700986,Q8076359
Q346523,Q49977318
Q337373,Q7268352
Q550449,Q7268352
Q12227911,Q12185313
Q314771,Q13912
Q5584427,Q22112149
Q60948,Q6011858
Q192214,Q3225497
Q472734,Q5220303
Q6167347,Q5220303
Q3496447,Q4053883
Q7668277,Q18535480
Q12404799,Q7743847
Q6171409,Q7743847
Q2849011,Q8076376
Q6171625,Q20568667
Q828989,Q2248086
Q346523,Q49977377
Q80900,Q16512793
Q6751889,Q22115525
Q545905,Q6011869
Q561408,Q4054406
Q293612,Q12185324
Q861482,Q18725
Q7945972,Q20568669
Q472734,Q5220304
Q6167347,Q5220304
Q982361,Q3225524
Q3401736,Q18535481
Q979438,Q2248138
Q317491,Q7268908
Q350239,Q16512804
Q21151381,Q22115637
Q20810984,Q7743855
Q346523,Q49977422
Q6456226,Q6011886
Q6700986,Q8076387
Q1267203,Q20568681
Q472734,Q5220305
Q6167347,Q5220305
Q835,Q4057254
Q3107436,Q3225555
Q16195162,Q7268972
Q96920,Q16512846
Q210798,Q8076489
Q7039832,Q6011891
Q5294891,Q7743875
Q12789282,Q49978143
Q1035,Q20124
Q472734,Q5220306
Q12246832,Q12185366
Q4506407,Q4057442
Q3573879,Q3225558
Q446941,Q6011930
Q35064,Q12185426
Q437516,Q7743884
Q309702,Q8078235
Q3709781,Q7268980
Q535733,Q7268980
Q4802098,Q7268980
Q193803,Q7268980
Q261962,Q2248476
Q80900,Q16513165
Q1470,Q49987246
Q472734,Q5220307
Q6167347,Q5220307
Q5623809,Q18535488
Q6742158,Q20568686
Q1238811,Q7743890
Q5337580,Q6011999
Q161955,Q2248978
Q25931027,Q7269004
Q234403,Q3225559
Q80900,Q16513320
Q472734,Q5220309
Q22116726,Q22116718
Q5623809,Q18535490
Q286644,Q8078257
Q313073,Q7743895
Q4141692,Q4058213
Q707549,Q6012012
Q2273582,Q6012012
Q1563821,Q7269129
Q47124066,Q20568690
Q501,Q2249082
Q16512338,Q16513366
Q472697,Q8078517
Q181920,Q3225560
Q1348862,Q23163
Q472734,Q5220311
Q6167347,Q5220311
Q3401615,Q18535492
Q130786,Q4059432
Q1044648,Q7743927
Q218698,Q16514005
Q673985,Q6012013
Q438164,Q7269153
Q3293094,Q7269153
Q6752546,Q8078582
Q92621,Q22117187
Q22117193,Q22117187
Q220883,Q3225561
Q7668277,Q18535493
Q6167347,Q5220312
Q472734,Q5220312
Q5203626,Q7743930
Q4193343,Q4059435
Q1368527,Q6012023
Q1732732,Q8078900
Q12810657,Q20568693
Q328212,Q16514105
Q432181,Q22117238
Q455742,Q50024417
Q816589,Q2249334
Q11826,Q12185631
Q20558419,Q18535494
Q472734,Q5220313
Q6167347,Q5220313
Q438164,Q7269154
Q3293094,Q7269154
Q71501,Q23172
Q2623787,Q3225567
Q1732732,Q8078902
Q38337,Q4060089
Q1701683,Q6012040
Q231467,Q2249401
Q228801,Q16514148
Q21757112,Q22117303
Q402245,Q12185781
Q170596,Q24323
Q4707003,Q7743933
Q472734,Q5220314
Q6167347,Q5220314
Q3159741,Q50026127
Q438164,Q7269155
Q3293094,Q7269155
Q12810657,Q20568704
Q270648,Q3225575
Q1557942,Q8079398
Q326459,Q4060900
Q119679,Q12185801
Q3430747,Q22117378
Q22117387,Q22117378
Q336445,Q7743953
Q9711,Q24402
Q153670,Q2249636
Q228801,Q16514331
Q3159741,Q50026589
Q2383305,Q18535498
Q472734,Q5220315
Q6167347,Q5220315
Q26253822,Q20568705
Q438164,Q7269157
Q3293094,Q7269157
Q1418232,Q8079400
Q310048,Q2249650
Q472734,Q5220316
Q6167347,Q5220316
Q228801,Q16514344
Q7166731,Q50084729
Q4661219,Q50084729
Q47119228,Q18535499
Q1345582,Q22117436
Q3483161,Q12185819
Q329937,Q24555
Q274848,Q24555
Q2095351,Q6012075
Q174210,Q8079403
Q2649517,Q7269202
Q4818553,Q7743971
Q1345582,Q22117437
Q504489,Q16514362
Q11770575,Q50087812
Q472734,Q5220317
Q6167347,Q5220317
Q49081,Q24596
Q751171,Q3225579
Q4116117,Q12185845
Q3398074,Q18535500
Q12881,Q4062141
Q42037,Q6012095
Q264283,Q7744039
Q761368,Q8079446
Q965456,Q7269291
Q140201,Q2249908
Q50090941,Q50093533
Q472734,Q5220320
Q6167347,Q5220320
Q1345582,Q22117439
Q11471103,Q25091
Q82925,Q16514368
Q189564,Q3225590
Q349619,Q6012103
Q6249473,Q18535502
Q34981,Q7269416
Q47124877,Q20568718
Q351957,Q8079466
Q584128,Q7744042
Q312632,Q2250302
Q7659694,Q5220966
Q1345582,Q22117440
Q517287,Q18535503
Q169234,Q12186092
Q460095,Q16514636
Q55433,Q16514636
Q958557,Q4062236
Q188244,Q3225600
Q465179,Q7744049
Q453729,Q7269424
Q3078852,Q8079665
Q4119552,Q50109606
Q1345582,Q22117441
Q40826,Q2250348
Q547716,Q18535504
Q2749775,Q5221007
Q3574131,Q16515572
Q4422382,Q4062530
Q6969361,Q25435
Q506120,Q25435
Q37060,Q7269483
Q18507636,Q8079824
Q1118750,Q7744051
Q2616180,Q6012168
Q4119552,Q50110209
Q1361479,Q3225603
Q1345582,Q22117443
Q89902,Q16515685
Q42037,Q5221012
Q237196,Q4062545
Q2420498,Q18535505
Q314215,Q2250405
Q42511,Q6012178
Q4119552,Q50111161
Q39829,Q25551
Q13129962,Q20568734
Q333668,Q7269577
Q79025,Q3225628
Q4412561,Q7744054
Q3068999,Q16516395
Q1345582,Q22117444
Q298229,Q5221028
Q4346185,Q4062551
Q1262212,Q12186170
Q50039,Q25555
Q2830554,Q18535506
Q12788059,Q8082762
Q268755,Q6012180
Q27140454,Q20568737
Q294992,Q3225631
Q45188610,Q50127113
Q1345582,Q22117445
Q3090538,Q16516482
Q3308121,Q7744059
Q4250939,Q5222044
Q501,Q2250614
Q733393,Q12186259
Q9204,Q4062569
Q299015,Q25666
Q8074344,Q8082841
Q5761435,Q7269735
Q691311,Q3225646
Q459631,Q7744061
Q45188610,Q50127855
Q259888,Q6012198
Q1345582,Q22117446
Q3090538,Q16516978
Q731195,Q5222211
Q18535410,Q18535508
Q6899234,Q12186273
Q1990033,Q4062721
Q582239,Q2251283
Q817691,Q3225652
Q15515059,Q7744062
Q45188610,Q50127904
Q718463,Q20568747
Q4720208,Q5222348
Q1248054,Q6012229
Q11929245,Q16517641
Q34660,Q25750
Q3398074,Q18535509
Q132805,Q2251594
Q18609898,Q7270191
Q18609901,Q7270191
Q3318543,Q12186301
Q12789903,Q8083621
Q216896,Q3225666
Q214475,Q22117592
Q443681,Q6012259
Q19629414,Q50133847
Q19629439,Q50133847
Q2830554,Q18535513
Q47112390,Q5222354
Q4116347,Q4063309
Q47120812,Q20568754
Q3090538,Q16517972
Q192331,Q2251772
Q1090220,Q7270226
Q318399,Q7744082
Q768394,Q6012286
Q312632,Q3225711
Q18535700,Q18535515
Q22913371,Q18535515
Q21585662,Q18535515
Q88086,Q22117609
Q11819510,Q16518003
Q2679389,Q50136562
Q47120879,Q20568756
Q7343343,Q5222476
Q3547747,Q8084046
Q2781362,Q7270232
Q3809058,Q6012305
Q246722,Q4064771
Q366643,Q7744144
Q13127787,Q18535516
Q2703951,Q2251911
Q11929245,Q16518165
Q33113985,Q50138128
Q743079,Q5222497
Q22117577,Q22117619
Q3425693,Q3225721
Q7945972,Q20568765
Q261465,Q7270238
Q249197,Q26085
Q9190608,Q8084463
Q6099543,Q6012324
Q34981,Q7744171
Q4072997,Q12186528
Q455780,Q4064798
Q221771,Q16518468
Q1185256,Q2251975
Q369206,Q5222500
Q3331880,Q50140979
Q6281898,Q22119694
Q1375486,Q7270528
Q88551,Q3225723
Q272076,Q7744174
Q6171588,Q6012332
Q8085505,Q8085570
Q7398795,Q12186545
Q924927,Q26193
Q234335,Q5223119
Q317491,Q2252121
Q11929901,Q16518592
Q2852478,Q4064876
Q14508658,Q18535521
Q6281898,Q22120965
Q301632,Q3225725
Q449797,Q8086533
Q2939388,Q6012333
Q47122487,Q20568776
Q2852984,Q2252261
Q275955,Q5223129
Q18609905,Q7270531
Q50142901,Q50142880
Q3172419,Q50142880
Q47008597,Q50142880
Q2830554,Q18535522
Q2827445,Q12186557
Q520723,Q7744180
Q333246,Q3225748
Q7351003,Q4064977
Q11628277,Q8103210
Q230141,Q22121056
Q3082769,Q16519091
Q47114841,Q6012344
Q319746,Q2252396
Q6228408,Q5223132
Q23434,Q26505
Q207544,Q7270552
Q301983,Q8115816
Q5623809,Q18535524
Q234403,Q3225749
Q1853158,Q7744184
Q327057,Q4064978
Q5859170,Q22121659
Q1289151,Q6012382
Q3335592,Q7270583
Q339577,Q5223137
Q362746,Q16521190
Q5372105,Q50166915
Q11384476,Q8134611
Q34981,Q2252893
Q713824,Q4065094
Q3398074,Q18535525
Q402245,Q12186559
Q123518,Q3225752
Q3281158,Q7744190
Q82104,Q26541
Q21694627,Q22122671
Q299161,Q5223139
Q47124885,Q20568795
Q9546,Q12186567
Q200666,Q50167869
Q1767904,Q18535528
Q3083988,Q3225806
Q78511,Q4065101
Q82925,Q16522450
Q40495,Q6012446
Q356428,Q5223152
Q232260,Q7744191
Q34474,Q27321
Q112214,Q2252940
Q207640,Q7270643
Q861984,Q4065155
Q200666,Q50167955
Q3105613,Q3225813
Q275601,Q6012454
Q6500674,Q5223154
Q170509,Q27331
Q260290,Q22123250
Q15488831,Q7270647
Q47123196,Q20568810
Q229369,Q2253255
Q2717838,Q18535530
Q311480,Q4065170
Q4730788,Q7744192
Q200666,Q50168042
Q325133,Q3225833
Q234865,Q8170842
Q1167679,Q27352
Q2434390,Q2253271
Q157326,Q6012470
Q537141,Q5223156
Q7150140,Q7270648
Q18609909,Q7270648
Q649667,Q7744216
Q238970,Q16524508
Q3398821,Q20568813
Q200666,Q50168134
Q47119194,Q18535532
Q5606664,Q12186861
Q552911,Q3225845
Q134798,Q27451
Q181659,Q16524680
Q49074,Q2253433
Q6788480,Q7744238
Q200666,Q50168176
Q1995311,Q5223170
Q704553,Q7270649
Q1351152,Q20568817
Q47119696,Q18535534
Q131152,Q22132347
Q552911,Q3225846
Q3392828,Q6012487
Q726264,Q27453
Q1357338,Q27453
Q2602737,Q5223195
Q630454,Q7744252
Q123635,Q16525247
Q6758766,Q20568821
Q180967,Q2253515
Q6962746,Q7270669
Q21649252,Q22136808
Q47119115,Q18535536
Q9027866,Q8183490
Q60137,Q3225854
Q123635,Q16525537
Q5849494,Q7744260
Q47122231,Q20568823
Q21649252,Q22136822
Q537141,Q5223196
Q650332,Q7270677
Q47484,Q27462
Q704249,Q2253999
Q5129181,Q8188245
Q20268081,Q50209816
Q4217057,Q4066979
Q60753,Q16525569
Q666007,Q6012505
Q433800,Q7744303
Q21649252,Q22136824
Q20268081,Q50210365
Q18609912,Q7270728
Q3398425,Q18535544
Q912791,Q2254384
Q47484,Q27463
Q537141,Q5223199
Q5363681,Q6012525
Q471044,Q12187084
Q368831,Q7744315
Q107002,Q7271018
Q1044648,Q16526133
Q18430,Q27466
Q144090,Q3225864
Q20534745,Q50214876
Q4160428,Q5223200
Q132805,Q2254480
Q21649252,Q22136833
Q19915717,Q4066982
Q1527039,Q8189247
Q21086592,Q7744323
Q235291,Q27544
Q967307,Q27544
Q537141,Q5223208
Q6125032,Q50216581
Q1044648,Q16526137
Q2192642,Q2255111
Q176246,Q3225869
Q47124979,Q20568837
Q21649252,Q22136877
Q5623809,Q18535546
Q186273,Q8189271
Q232260,Q7744349
Q468432,Q12187251
Q2633530,Q4066983
Q224029,Q6012541
Q7287661,Q7271155
Q318431,Q5223218
Q9215,Q27592
Q1044648,Q16526140
Q34981,Q2255773
Q1756267,Q3225875
Q46998049,Q50217512
Q197350,Q8191081
Q433708,Q7744360
Q5208375,Q18535547
Q84233,Q4067006
Q537141,Q5223230
Q21649252,Q22136960
Q6385069,Q7271167
Q18535609,Q20568842
Q49635127,Q50218810
Q49799713,Q50218810
Q1044648,Q16526144
Q493,Q2255881
Q4894938,Q8195504
Q288477,Q3225876
Q12210120,Q12187256
Q14949229,Q7744365
Q991,Q27775
Q4269740,Q4067117
Q47119157,Q18535549
Q130197,Q7271202
Q22116726,Q22137068
Q7821775,Q6012648
Q1044648,Q16526148
Q5108570,Q5223231
Q3309344,Q3225877
Q234663,Q8196241
Q12399256,Q50219271
Q28170,Q28172
Q1766736,Q12187259
Q326459,Q4067157
Q47124961,Q20568844
Q34782,Q7271209
Q5208382,Q18535550
Q943694,Q2256400
Q7681867,Q22137076
Q279305,Q7744367
Q1420273,Q6012750
Q1044648,Q16526151
Q537141,Q5223242
Q2927179,Q3225880
Q1248105,Q4067168
Q526057,Q50220236
Q336081,Q7744370
Q47119145,Q18535551
Q113554,Q6012759
Q6700986,Q7271372
Q153700,Q2257334
Q22136990,Q22137077
Q1044648,Q16526155
