book_id;book_label;book_description;title;subtitle;first_line;series
Q24402;Pierrette;novel;Pierrette;;;La Comédie humaine
Q8369;The Compendious Book on Calculation by Completion and Balancing;mathematical book written in Arabic;The Compendious Book on Calculation by Completion and Balancing;;;
Q40205;Cloud Atlas;David Mitchell's novel;Cloud Atlas;;;
Q29132;A Pocket Full of Rye;novel by Agatha Christie;A Pocket Full of Rye;;;
Q31137;O alienista;novella by Machado de Assis;O alienista;;;
Q6911;Diary of Anne Frank;the various published editions of Anne Frank's diaries. For the manuscripts, use Q29571913;Het Achterhuis;;;
Q480;Don Quixote;novel by the Spanish author Miguel de Cervantes Saavedra;El ingenioso hidalgo don Quijote de la Mancha;;En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor.;
Q27462;The Dungeons of the Vatican;novel;The Dungeons of the Vatican;;;
Q8014;The MLA Style Manual;academic format of citation made by Modern Language Association of America (MLA);MLA Style Manual and Guide to Scholarly Publishing;;;
Q27466;Globalization and Its Discontents;2002 non-fiction book by Joseph E. Stiglitz;Globalization and Its Discontents;;;
Q27463;Strait is the Gate;novel;Strait is the Gate;;;
Q8269;The Tale of Genji;classic work of Japanese literature;The Tale of Genji;;いづれの御時にか、女御、更衣あまたさぶらひたまひけるなかに、いとやむごとなき際にはあらぬが、すぐれて時めきたまふありけり。;
Q13911;A Prayer for Owen Meany;novel by John Irving;A Prayer for Owen Meany;;;
Q4784;Metroland;English novel written by Julian Barnes;Metroland;;;
Q22765;Index Librorum Prohibitorum;list of publications prohibited by the Catholic Church;Index Librorum Prohibitorum;;;
Q26505;The Old Man and the Sea;novel by Ernest Hemingway;The Old Man And The Sea;;;
Q4795;Carry Me Down;2006 novel;Carry Me Down;;;
Q12826;Froissart's Chronicles;chronicles by Jean Froissart;Froissart's Chronicles;;;
Q27775;The Village of Stepanchikovo;novel by Fyodor Dostoyevsky;Село Степанчиково и его обитатели;;;
Q28772;Ming Shilu;imperial annals of Ming dynasty emperors;Ming Shilu;;;
Q721;Life, the Universe and Everything;1982 book by Douglas Adams;Life, the Universe and Everything;;;The Hitchhiker's Guide to the Galaxy pentalogy
Q31385;The Audacity of Hope;book by Barack Obama;The Audacity of Hope;Thoughts on Reclaiming the American Dream;;
Q13912;Where the Wild Things Are;1963 children's picture book by Maurice Sendak;Where the Wild Things Are;;;
Q24596;God Is Not Great;2007 book;God is Not Great;How Religion Poisons Everything;;
Q29424;Fathers and Sons;novel by Ivan Turgenev;Отцы и дѣти;;;
Q442;Natural History;encyclopedia published circa AD 77–79 by Pliny the Elder;Naturalis historia;;;
Q38187;The Night Watch;book;The Night Watch;;;
Q6511;Ulysses;novel by the Irish author James Joyce;Ulysses;;Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed.;
Q27451;Underground: The Tokyo Gas Attack and the Japanese Psyche;book by Japanese novelist Haruki Murakami;アンダーグラウンド;;;
Q26085;The Day of the Jackal;novel by Frederick Forsyth;The Day of the Jackal;;;
Q25551;The Running Man;novel;The Running Man;;;
Q25666;Österreichisches Biographisches Lexikon 1815–1950;Austrian biographical dictionary;Österreichisches Biographisches Lexikon 1815–1950;;;
Q25750;The Casual Vacancy;novel by J.K. Rowling;The Casual Vacancy;;;
Q2870;Gone with the Wind;1936 novel by Margaret Mitchell;Gone with the Wind;;;
