character_id;character_label;character_description;character_name;character_sex;character_DoB;character_DoD
Q6194149;Jim Chee;;Jim Chee;male;;
Q2463980;Carlos Oliveira;character in Resident Evil;Carlos Oliveira;male;+1977-00-00T00:00:00Z;
Q5961046;Lewis Zimmerman;;Lewis Zimmerman;male;;
Q3051343;;;;female;;
Q28658137;Miss Level;witch from Terry Pratchett's Discworld-novels;Miss Level;female;;
Q716835;Jacob Black;television character;Jacob Black;male;+1990-01-14T00:00:00Z;
Q16739992;Martin Cunningham (fictional character);character in James Joyce's Ulysses and Grace;Martin Cunningham (fictional character);male;;
Q771213;Anne Shirley;fictional girl and woman, protagonist of the eponymous series, introduced 1908;Anne Shirley;female;+1865-04-05T00:00:00Z;
Q2526905;Martha Jones;fictional character from Doctor Who;Martha Jones;female;;
Q5877874;George Kirk;fictive person;George Kirk;male;;
Q23005888;;;;male;;
Q3719954;Edward Ferrars;;Edward Ferrars;male;;
Q1358761;Peter Clemenza;fictional human;Peter Clemenza;male;;
Q30106696;Ulrich;protagonist in Musil's The Man Without Qualities;Ulrich;male;+1880-00-00T00:00:00Z;
Q3160179;Jacques Vingtras;;Jacques Vingtras;male;;
Q20807826;John Hatteras;character created by Jules Verne;John Hatteras;male;;
Q52863;L;fictional character in the manga and anime series Death Note;L;male;+2005-10-31T00:00:00Z;
Q3304979;Melchior de Canalis;Honoré de Balzac character;Melchior de Canalis;male;;
Q2370873;Madame du Val-Noble;Honoré de Balzac character;Madame du Val-Noble;;;
Q636142;Kunta Kinte;From Alex Haley's ''Roots'';Kunta Kinte;male;+1750-00-00T00:00:00Z;+1810-00-00T00:00:00Z
Q28736853;Ordell Robbie;fictional character in Elmore Leonard's The Switch and Rum Punch;Ordell Robbie;;;
Q519239;Tahmuras;mythological Iranian king;Tahmuras;male;;
Q5196006;Clarisse McClellan;;Clarisse McClellan;female;;
Q7888407;Demora Sulu;;Demora Sulu;female;;
Q211013;Hannibal Lecter;fictional character;Hannibal Lecter;male;+1933-01-20T00:00:00Z;
Q4982905;Buck Mulligan;character in James Joyce's Ulysses;Buck Mulligan;male;;
Q23031;Khan Noonien Singh;fictional character from Star Trek;Khan Noonien Singh;male;;
Q11716129;Jagienka of Zgorzelice;fictional character;Jagienka of Zgorzelice;female;;
Q28737386;Harry Arno;fictional character in Elmore Leonard's Pronto and Riding the Rap;Harry Arno;;;
Q3178958;Lin Daiyu;principal character in the classic Chinese novel Dream of the Red Chamber;Lin Daiyu;female;;
Q11694119;;;;female;;
Q3092446;Félix Gaudissart;Honoré de Balzac character;Félix Gaudissart;male;;
Q2561830;Red Queen;Character from Through the Looking-Glass;Red Queen;female;;
Q1632277;Jesse Stone;fictional human;Jesse Stone;male;;
Q3275274;Madame Firmiani;Honoré de Balzac character;Madame Firmiani;;;
Q8012835;;;;female;+1990-11-14T00:00:00Z;
Q3899725;Percy Jackson;fictional boy and demigod, protagonist of series Percy Jackson & the Olympians, The Heroes of Olympus and The Trials of Apollo;Percy Jackson;male;+1993-00-00T00:00:00Z;
Q1150281;Fereydun;;Fereydun;male;;
Q1538721;Lord Peter Wimsey;fictional character in novels and stories written by Dorothy Sayers;Lord Peter Wimsey;male;+1890-00-00T00:00:00Z;
Q46080734;Gang pan ok;;Gang pan ok;;;
Q2195046;Giovanni Bertuccio;fictional character;Giovanni Bertuccio;male;;
Q18516407;Raffaele Brunetti;;Raffaele Brunetti;male;;
Q29566449;Mr Smith;character from Dostoyevsky's Humiliated and Insulted;Mr Smith;male;;
Q18710691;Nick Carraway;fictional character from The Great Gatsby;Nick Carraway;male;;
Q29566216;Katerina Fiodorovna;character from Dostoyevsky's Humiliated and Insulted;Katerina Fiodorovna;female;;
Q18518806;Enzo Bocchese;;Enzo Bocchese;male;;
Q20643105;Mathias Sandorf;character created by Jules Verne;Mathias Sandorf;male;;
Q3313177;Emeth;fictional character, a good man  who worships Tash in The Last Battle (Narnia, book 7);Emeth;male;;
Q8012728;;;;female;+1994-09-09T00:00:00Z;
Q575889;Sonny Corleone;fictional human;Sonny Corleone;male;+1916-01-01T00:00:00Z;+1948-01-01T00:00:00Z
Q2979585;Clopin Trouillefou;character from Victor Hugo's The Hunchback of Notre Dame;Clopin Trouillefou;male;;+1482-00-00T00:00:00Z
Q745077;Vito Corleone;character in Mario Puzo's novel The Godfather and in Francis Ford Coppola's films;Vito Corleone;male;+1891-04-29T00:00:00Z;+1955-07-28T00:00:00Z
Q616755;Uhura;Star Trek character;Uhura;female;;
Q28722385;Fleming;character in James Joyce's Portrait of the Artist;Fleming;;;
Q520812;Claude Frollo;fictional character;Claude Frollo;male;+1446-01-01T00:00:00Z;+1482-01-01T00:00:00Z
Q21015520;Farragut;character created by Jules Verne;Farragut;male;;
Q794335;Beverly Crusher;fictional character in Star Trek: The Next Generation;Beverly Crusher;female;;
Q18519993;Luca Guzzardi;;Luca Guzzardi;male;;
Q2713628;Christine Daaé;character from Gaston Leroux's novel The Phantom of the Opera;Christine Daaé;female;;
Q24939119;Mikhail Rakitin;character from Fyodor Dostoyevsky's "The Brothers Karamazov";Михаил Осипович Ракитин;;;
Q6470050;Lady Constance Keeble;fictional human by P. G. Wodehouse;Lady Constance Keeble;female;;
Q23758900;Kevan Lannister;character in A Song of Ice and Fire;Kevan Lannister;male;;
Q959519;Trillian;fictional character;Tricia Marie McMillan;female;;
Q2916375;Peter Wiggin;Fictional character in the  Ender’s Game series;Peter Wiggin;male;;
Q7178617;Petra Arkanian;Fictional character in the Ender series;Petra Arkanian;female;;
Q385299;Elinor Dashwood;fictional human;Elinor Dashwood;female;;
Q155755;Jamshid;;Jamshid;male;;
Q2206150;Polly Plummer;fictional girl, second lead character in The Magician's Nephew (Narnia, book 6);Polly Plummer;female;;
Q2000355;Wesley Crusher;character in the television series Star Trek: The Next Generation;Wesley Crusher;male;;
Q1773077;Aramis;fictional character in The Three Musketeers and other Dumas novels;Aramis;male;;
Q5454702;Raylan Givens;character;Raylan Givens;male;+1970-00-00T00:00:00Z;
Q23000;Zefram Cochrane;fictional Character from the Star Trek universe;Zefram Cochrane;male;;
Q3092321;Félicité des Touches;Honoré de Balzac character;Félicité des Touches;;;
Q29565699;Natalya Nikolayevna;character from Dostoyevsky's Humiliated and Insulted;Natalya Nikolayevna;female;;
Q5800500;Davos Seaworth;character in A Song of Ice and Fire;Davos Seaworth;male;;
Q4086728;Billy Bones;character from Stevenson's Treasure Island;Billy Bones;male;;
Q379429;Dr. Priestley;fictional human;Dr. Priestley;male;;
Q2856974;Antoinette de Langeais;Honoré de Balzac character;Antoinette de Langeais;;;
Q21030944;Sylvia Noble;Doctor Who character;Sylvia Noble;female;;
Q7050346;Seven of Nine;fictional character on Star Trek: Voyager, portrayed by actress Jeri Ryan;Seven of Nine;female;;
Q3321502;Monsieur de Sérisy;Honoré de Balzac character;Monsieur de Sérisy;male;;
Q27231140;;;;;;
Q47488906;Rita;character from Vladimir Nabokov's Lolita;Rita;female;+1920-00-00T00:00:00Z;
Q55719638;;;Пётр Иванович Добчинский;male;;
Q830561;Jules Maigret;fictional French police detective;Commissaire Maigret;male;+1887-01-01T00:00:00Z;
Q3309268;Michel Chrestien;Honoré de Balzac character;Michel Chrestien;male;;
Q2627135;Lord Drinian;;Lord Drinian;male;;
Q2027772;Alyosha Karamazov;protagonist in The Brothers Karamazov by Fyodor Dostoyevsky;Alyosha Karamazov;male;;
Q17381829;Vilho Koskela;fictional human;Vilho Johannes Koskela;male;+1913-00-00T00:00:00Z;+1944-00-00T00:00:00Z
Q170241;Tarzan;fictional character from Edgar Rice Burroughs's Tarzan of the Apes;Tarzan;male;;
Q34449960;Friedel Feuermaul;character from Musil's The Man Without Qualities;Friedel Feuermaul;male;;
Q4221952;Ippolit Matveyevich Vorobyaninov;fictional character in Ilf and Petrov's novel The Twelve Chairs;Ippolit Matveyevich Vorobyaninov;male;+1875-00-00T00:00:00Z;
Q3796490;Illyrio Mopatis;character in A Song of Ice and Fire;Illyrio Mopatis;male;;
Q28698122;Father John Conmee;character in James Joyce's Portrait of the Artist and Ulysses;Father John Conmee;male;;
Q4139571;Gleb Zheglov;fictional character in Arkady and Georgy Vayner's novel The Age of Mercy;Gleb Zheglov;male;;
Q1835162;Wilfred Mott;Doctor Who character;Wilfred Mott;male;;
Q766141;Chakotay;character from Star Trek: Voyager;Chakotay;male;+2329-00-00T00:00:00Z;
Q9188385;;;;male;;
Q28819472;Linda Moon;fictional character in Elmore Leonard's Glitz and Be Cool;Linda Moon;;;
Q6860161;Milly Bloom;;Milly Bloom;female;;
Q203927;Patrick Bateman;fictional character, the antihero and narrator of the novel American Psycho by Bret Easton Ellis, and its film adaptation;Patrick Bateman;male;;
Q3874182;Ned Land;character created by Jules Verne;Ned Land;male;;
Q6263478;John Wemmick;;John Wemmick;male;;
Q2076759;Tyrion Lannister;character in A Song of Ice and Fire;Tyrion Lannister;male;;
Q2715294;William of Baskerville;;Guglielmo da Baskerville;male;+1277-00-00T00:00:00Z;
Q587387;Chris Redfield;character in the Resident Evil series of video games;Chris Redfield;male;+1973-00-00T00:00:00Z;
Q2518175;Mule;fictional charachter from the Foundation-Universe by Isaac Asimov;Mule;male;;
Q18524116;Donatella Falier;;Donatella Falier;female;;
Q54002293;Alice's sister;character from Carroll's Alice's Adventures in Wonderland‎;Alice's sister;female;;
Q30243428;Moosbrugger;character from Musil's The Man Without Qualities;Moosbrugger;male;+1870-00-00T00:00:00Z;
Q1684606;Jean-Baptiste Adamsberg;fictional commissioner in Fred Vargas books;Jean-Baptiste Adamsberg;male;;
Q5400904;Estella;character in the Charles Dickens novel “Great Expectations”;Estella;female;;
Q28466650;Andrej Tschichatschow;;Andrej Tschichatschow;male;+1990-00-00T00:00:00Z;
Q23753831;Winona Kirk;fictive person;Winona Kirk;female;;
Q21072390;Ketty;;Ketty;female;;
Q2024961;Bill Tanner;fictional character in the James Bond film and novel series;Bill Tanner;male;;
Q2715495;Lord Asriel;;Lord Asriel;male;;
Q3665163;Cersei Lannister;character in A Song of Ice and Fire;Cersei Lannister;female;;
Q385831;Pavel Chekov;fictional Character;Pavel Chekov;male;+2245-00-00T00:00:00Z;
Q28737350;Ray Nicolette;fictional character in Elmore Leonard's Rum Punch and Out of Sight;Ray Nicolette;;;
Q26996083;Hendrik Höfgen;fictional character;Hendrik Höfgen;male;;
Q28737414;Dale Crowe Jr.;fictional character in Elmore Leonard's Maximum Bob and Riding the Rap;Dale Crowe Jr.;;;
Q27077162;;;;male;;
Q928321;Ford Prefect;character from The Hitchhiker's Guide to the Galaxy;Ford Prefect;male;;
Q10492788;Evert Bäckström;;Evert Bäckström;male;;
Q583958;;fictional human;;female;;
Q18516397;Lorenzo Vianello;;Lorenzo Vianello;male;;
Q21933247;Meursault;;Meursault;male;;
Q15733721;Achilles de Flandres;Fictional character from the Ender’s Game series.;Achilles de Flandres;male;;
Q2398300;Lucien Chardon;Honoré de Balzac character;Lucien de Rubempré;male;+1798-00-00T00:00:00Z;
Q4194090;Zosya Sinitskaya;fictional character in Ilf and Petrov's novel The Little Golden Calf;Zosya Sinitskaya;female;+1910-00-00T00:00:00Z;
Q3844557;Mangiafuoco;fictional character who appear in Carlo Collodi's book The Adventures of Pinocchio;Mangiafuoco;male;;
Q3888787;Father Felice Casati;fictional human from The Betrothed;Father Felice Casati;;;
Q21639875;Captain Lebyadkin;character from Fyodor Dostoyevsky's Demons;Captain Lebyadkin;male;;
Q1997439;White Witch;fictional witch, sorceress, queen; antagonist in The Chronicles of Narnia;White Witch;female;;
Q2929530;Béatrix de Rochefide;Honoré de Balzac character;Béatrix de Rochefide;;;
Q305387;Kathryn Janeway;character in Star Trek: Voyager;Kathryn Janeway;female;+2336-05-20T00:00:00Z;
Q913841;Bridget Jones;fictional character;Bridget Jones;female;;
Q2997233;Corentin;Honoré de Balzac character;Corentin;male;;
Q3188069;Judge Granville;Honoré de Balzac character;Judge Granville;male;;
Q11875313;Lehto;fictional character;Lehto;male;;
Q3419540;Raphaël de Valentin;Honoré de Balzac character;Raphaël de Valentin;male;;
Q3119417;Guido Brunetti;;Guido Brunetti;male;;
Q1649854;Athos;fictional character;Athos;male;;+1643-12-21T00:00:00Z
Q4205369;;;;male;;
Q28737447;Karen Sisco;fictional character in Elmore Leonard's Out of Sight and Road Dogs;Karen Sisco;;;
Q3348874;Octave de Bauvan;Honoré de Balzac character;Octave de Bauvan;male;;
Q44834874;Lee Gang-mo;fictional character in Honbul;Lee Gang-mo;male;;
Q28719768;Roderick "Rody" Kickham;character in James Joyce's Portrait of the Artist;Roderick "Rody" Kickham;;;
Q3806180;Jaime Lannister;character in A Song of Ice and Fire;Jaime Lannister;male;;
Q254678;Carrie Bradshaw;fictional character from sitcom Sex and the City;Carrie Bradshaw;female;+1966-06-15T00:00:00Z;
Q5361253;Eliot Rosewater;;Eliot Rosewater;male;;
Q1091233;Henry Chinaski;fictional character, alter ego of Charles Bukowski;Henry Chinaski;male;;
Q47488838;John Farlow;character from Vladimir Nabokov's Lolita;John Farlow;male;+1900-00-00T00:00:00Z;
Q3140443;Horace Bianchon;Honoré de Balzac character;Horace Bianchon;male;+1797-01-01T00:00:00Z;
Q3290653;Marguerite;character in the novel Paul et Virginie;Marguerite;female;;
Q4192333;Funt;fictional character in Ilf and Petrov's novel The Little Golden Calf;Funt;male;;
Q5560816;Gilbert Blythe;;Gilbert Blythe;male;+1862-00-00T00:00:00Z;
Q3320009;Miraz;fictional character, as usurper the antagonist of Prince Caspian (Narnia, book 2);Miraz;male;;
Q26902956;Father William;character in Alice's Adventures in Wonderland by Lewis Caroll;Father William;;;
Q2960713;Charles de Vandenesse;Honoré de Balzac character;Charles de Vandenesse;male;;
Q2089370;Randle McMurphy;protagonist of Ken Kesey's novel One Flew Over the Cuckoo's Nest;Randle McMurphy;male;;
Q1322354;Tom Paris;fictional human;Tom Paris;male;;
Q687726;Honey Rider;female character in the James Bond novel and film Dr. No;Honey Rider;female;;
Q12292447;Robinson Crusoe;character;Robinson Crusoe;male;;
Q11428966;Winston Smith;fictional character by George Orwell's novel Nineteen Eighty-Four;Winston Smith;male;;
Q2277080;Clarice Starling;;Clarice Starling;female;+1957-12-23T00:00:00Z;
Q928202;Joseph Rouletabille;fictional character;Joseph Rouletabille;male;;
Q648269;Albert Campion;fictional character in novels by Margery Allingham;Albert Campion;male;;
Q23303606;;;;male;;
Q2568029;The Continental Op;;The Continental Op;male;;
Q2871480;Auguste de Maulincour;Honoré de Balzac character;Auguste de Maulincour;male;;
Q4149088;Grigori Melekhov;character from Michail Sholokhov's And Quiet Flows the Don;Grigori Melekhov;male;+1892-00-00T00:00:00Z;
Q2363179;Mickey Haller;;Mickey Haller;male;;
Q7518595;Simon Dedalus;character in Joyce's Portrait and Ulysses;Simon Dedalus;male;;
Q2608715;Vesper Lynd;;Vesper Lynd;female;;
Q2723894;Byomkesh Bakshi;fictional detective in Bengali literature;Byomkesh Bakshi;male;;
Q871539;Drury Lane;fictional detective, retired actor;Drury Lane;male;;
Q3010428;César Birotteau;Honoré de Balzac character;César Birotteau;male;;
Q7911035;Valentine Wiggin;Fictional character in the Ender’s Game series;Valentine Wiggin;female;;
Q2253749;Cadderly Bonaduce;fictional character;Cadderly Bonaduce;male;;
Q5036534;Captain Alexander Smollett;character from Stevenson's Treasure Island;Captain Alexander Smollett;male;;
Q17622535;Beatrice Prior;protagonist character in the Divergent film series;Beatrice Prior;female;;
Q2481487;Aravis;fictional girl, the female lead human in The Horse and His Boy (Narnia, book 5);Aravis;female;;
Q3798988;;;;;;
Q1078956;Leto Atreides I;Fictional character from Dune;Leto Atreides I;male;;
Q6072772;Pero Perez;;Pero Perez;male;;
Q3308890;Michel Ardan;character created by Jules Verne;Michel Ardan;male;;
Q3277939;Jim Hawkins;fictional Character from Stevenson's Treasure Island;Jim Hawkins;male;;
Q11900361;Vanhala;fictional human;Vanhala;male;;
Q3687082;Connor Kenway;character in Assassin's Creed;Connor Kenway;;;
Q18397642;Grushenka Svetlovа;;Grushenka Svetlovа;female;;
Q561140;Captain Jack Harkness;fictional character of Doctor Who and Torchwood;Captain Jack Harkness;male;;
Q2845517;Anastasie de Restaud;Honoré de Balzac character;Anastasie de Restaud;;;
Q752877;William Riker;fictional character in Star Trek;William Riker;male;+2335-00-00T00:00:00Z;
Q458019;Emilio Barzini;;Emilio Barzini;male;;
Q764346;Richard Rahl;fictional character;Richard Rahl;male;;
Q2991021;Comte de Kergarouët;Honoré de Balzac character;Comte de Kergarouët;male;;
Q2665305;Rory Williams;fictional character of Doctor Who;Rory Williams;male;;
Q1120793;Theon Greyjoy;character in A Song of Ice and Fire;Theon Greyjoy;male;;
Q965855;Judge Soplica;fictional character;Judge Soplica;male;;
Q2604250;Aloysius Pendergast;;Aloysius Pendergast;male;;
Q6668;Pippi Longstocking;fictional character;Pippi Longstocking;female;;
Q28719786;Cecil Thunder;character in James Joyce's Portrait of the Artist;Cecil Thunder;;;
Q662916;Haydée;fictional character;Haydée;female;;
Q4441361;;;;female;;
Q7582307;Squire Trelawney;fictional Character;Squire Trelawney;male;;
Q18710699;Tom Buchanan;fictional character from The Great Gatsby;Tom Buchanan;male;;
Q1284200;O'Brien;fictional character and the main antagonist in George Orwell's novel Nineteen Eighty-Four;O'Brien;male;;
Q2859264;Aquilina;Honoré de Balzac character;Aquilina;female;+1803-00-00T00:00:00Z;
Q2020365;Miles O'Brien;fictional character from the Star Trek universe;Miles O'Brien;male;;
Q28745284;Cedric Walker;fictional character in Elmore Leonard's The Switch and Rum Punch;Cedric Walker;;;
Q50526726;Sara Goldfarb;Fictional character from Requiem for a Dream.;Sara Goldfarb;female;;
Q3021868;Delphine de Nucingen;Honoré de Balzac character;Delphine de Nucingen;female;;
Q17301560;Dimitri Karamasoff;;Dimitri Karamasoff;male;;
Q27684013;Danny Torrance;fictional character in Stephen King's novel The Shining and its sequel Doctor Sleep;Danny Torrance;male;;
Q2296791;Molly Bloom;wife of the main protagonist in Ulysses;Marion Tweedy;female;+1870-09-08T00:00:00Z;
Q17634610;Vladimir Sharapov;fictional character in Arkady and Georgy Vayner's works;Vladimir Ivanovich Sharapov;male;+1923-00-00T00:00:00Z;
Q21065542;Bazin;character in novels of Alexandre Dumas;Bazin;male;;
Q765498;Jake Chambers;character from Stephen King's "The Dark Tower";Jake Chambers;male;+1966-00-00T00:00:00Z;
Q9156058;Tarkaan Anradin;;Tarkaan Anradin;male;;
Q14906180;Lasaraleen;;Lasaraleen;female;;
Q3136128;Hippolyte Schinner;Honoré de Balzac character;Hippolyte Schinner;male;;
Q135143;Bridget "Bee" Vreeland;fictional human;Bridget "Bee" Vreeland;female;;
Q2264282;Roland Deschain;protagonist from Stephen King's "The Dark Tower";Roland Deschain;male;;
Q2412890;Biggles;title character of the Biggles series of books written by W. E. Johns;Biggles;male;+1899-05-00T00:00:00Z;
Q8013050;;;;female;+1990-07-30T00:00:00Z;
Q1067723;Inspector Lestrade;fictional character from Sherlock Holmes;Inspector Lestrade;male;;
Q911563;Duncan Idaho;fictional character from Dune;Duncan Idaho;male;;
Q252900;Harry Kim;character from Star Trek: Voyager;Harry Kim;male;;
Q28736863;Raymond Cruz;fictional character in Elmore Leonard's City Primeval and Out of Sight;Raymond Cruz;;;
Q18545021;Sergeant Foster;;Michael Foster;male;;
Q3183235;Jon Snow;character in A Song of Ice and Fire;Jon Snow;male;;
Q10431801;Bo Jarnebring;;Bo Jarnebring;male;;
Q1568413;Red King;fictional character in "Through the Looking-Glass" by Lewis Carroll;Red King;male;;
Q27077109;;;;male;;
Q55719645;;;Пётр Иванович Бобчинский;male;;
Q9392768;;;;male;;
Q4319923;Nikifor Lyapis-Trubetskoy;fictional character in Ilf and Petrov's novel The Twelve Chairs;Nikifor Lyapis-Trubetskoy;male;;
Q47471703;Dolores Haze;title character in Vladimir Nabokov's Lolita;Dolores Haze;female;+1935-01-01T00:00:00Z;+1952-12-25T00:00:00Z
Q16920437;Camille Raquin;;Camille Raquin;;;
Q25410659;Agis XIV;fictional charachter from the Foundation-Universe by Isaac Asimov;Agis XIV;male;;
Q3316519;Miss Havisham;character in the Charles Dickens novel Great Expectations;Miss Havisham;female;;
Q2111000;Eustace Scrubb;fictional boy, a lead character in The Chronicles of Narnia, books 3 and 4;Eustace Scrubb;male;;
Q1269082;Alice;fictional character from Carroll's "Alice's Adventures in Wonderland";Alice;female;;
Q3880820;Oddjob;fictional character from the James Bond film series;Oddjob;male;;
Q4572479;Mason Verger;fictional character;Mason Verger;male;;
Q18173397;Edward Jellico;;Edward Jellico;male;;
Q3303236;Maître Derville;Honoré de Balzac character;Maître Derville;male;;
Q7782906;Theresa Wiggin;Fictional character in the Ender’s Game series;Theresa Wiggin;female;;
Q28736857;Louis Gara;fictional character in Elmore Leonard's The Switch and Rum Punch;Louis Gara;;;
Q44834591;Mrs. Cheongam;fictional character in Honbul;Mrs. Cheongam;female;;
Q29565855;Pyotr Alexandrovitch Valkovsky;character from Dostoyevsky's Humiliated and Insulted;Pyotr Alexandrovitch Valkovsky;male;;
Q3079238;Hugo Drax;James Bond's character;Hugo Drax;male;;
Q4885761;Ben Gunn;fictional Character from Stevenson's Treasure Island;Ben Gunn;male;;
Q1750634;Quasimodo;character from Victor Hugo's novel Notre Dame de Paris;Quasimodo;male;+1466-00-00T00:00:00Z;+1482-00-00T00:00:00Z
Q283111;Professor Moriarty;fictional character from Sherlock Holmes;James 'Jim' Moriarty;male;;+1891-00-00T00:00:00Z
Q2168244;Eugénie Danglars;fictional human;Eugénie Danglars;female;;
Q5511259;Fyodor Karamazov;;Fyodor Karamazov;male;;
Q3643599;Bran Stark;character in A Song of Ice and Fire;Bran Stark;male;;
Q581138;Guy Montag;fictional character;Guy Montag;male;;
Q546404;Benjamin Sisko;fictional character;Benjamin Sisko;male;+2332-01-01T00:00:00Z;
Q17382075;Yrjö Lahtinen;fictional human;Yrjö Lahtinen;male;;
Q30250839;Count Leinsdorf;character from Musil's The Man Without Qualities;Count Leinsdorf;male;+1850-00-00T00:00:00Z;
Q10518311;Harry Angstrom;fictional character in the works of John Updike;Harry Angstrom;male;;
Q7979570;Weena;fictional Character;Weena;;;
Q944201;Alonso Quijano;protagonist of Don Quixote;Alonso Quijano;male;;
Q37456904;Carlos;;Carlos;male;;
Q3143575;Hyacinthe Chabert;Honoré de Balzac character;Hyacinthe Chabert;male;;
Q461606;Arsène Lupin;fictional gentleman thief and master of disguise created by French writer Maurice Leblanc;Arsène Lupin;male;;+1950-00-00T00:00:00Z
Q30243468;Ulrich's father;character from Musil's The Man Without Qualities;Ulrich's father;male;+1844-00-00T00:00:00Z;+1914-00-00T00:00:00Z
Q50526244;Marion Silver;Fictional character from Requiem for a Dream.;Marion Silver;female;;
Q5201145;Cyrus Smith;character created by Jules Verne;Cyrus Smith;male;;
Q267447;Granny Weatherwax;character in by Terry Pratchett's Discworld series;Granny Weatherwax;female;;
Q30243605;Rachel;character from Musil's The Man Without Qualities;Rachel;female;+1890-00-00T00:00:00Z;
Q3160645;Jake Sisko;character on Star Trek: Deep Space Nine;Jake Sisko;male;;
Q1933207;Julie Herbault;fictional human;Julie Herbault;female;;
Q2731317;Mary Morstan;Sherlock Holmes character;Mary Morstan;female;;
Q27583975;;;;female;;
Q5496804;Freddie Threepwood;fictional character in P.G. Wodehouse's ‘Blandings’ stories;Freddie Threepwood;male;;
Q627820;Reginald Barclay;fictional character in the Star Trek universe;Reginald Barclay;male;;
Q2633642;Will Parry;His Dark Materials character;Will Parry;male;;
Q18238576;;;;male;;
Q189169;Conan the Barbarian;fictional character created by Robert E. Howard;Conan the Barbarian;male;;
Q2601499;Jack Torrance;fictional character in Stephen King's novel The Shining;John Daniel Edward Torrance;male;;
Q2053078;Julius No;fictional character in the 1958 James Bond novel and 1962 film Dr. No;Julius No;male;;
Q28727274;Uncle Charles;character in James Joyce's Portrait of the Artist and Ulysses;Uncle Charles;;;
Q981290;Maxime de Trailles;Honoré de Balzac character;Maxime de Trailles;male;+1791-00-00T00:00:00Z;
Q29566347;Filipp Filippych Masloboyev;character from Dostoyevsky's Humiliated and Insulted;Filipp Filippych Masloboyev;male;;
Q2460531;Laura Palmer;fictional character from Twin Peaks;Laura Palmer;female;+1972-07-22T00:00:00Z;+1989-02-24T00:00:00Z
Q25390788;;;;female;;
Q21065702;Raoul de Bragelonne;;Raoul de Bragelonne;male;;
Q2883129;Hazuki Fujiwara;;Hazuki Fujiwara;female;+1991-02-14T00:00:00Z;
Q1622359;Abraham Van Helsing;fictional character created by Bram Stoker;Abraham Van Helsing;male;;
Q2607112;Harry Bosch;;Harry Bosch;male;;
Q623732;Philip Marlowe;fictional character created by Raymond Chandler;Philip Marlowe;male;;
Q16311;James T. Kirk;character in the Star Trek media franchise;James Tiberius Kirk;male;+2233-03-22T00:00:00Z;+2371-00-00T00:00:00Z
Q3809610;John Shaft;;John Shaft;male;;
Q5904834;Humbert Humbert;protagonist and narrator in Nabokov's Lolita;Humbert Humbert;male;+1910-00-00T00:00:00Z;+1952-11-16T00:00:00Z
Q1952877;Edmond Dantès;fictional character from The Count of Monte Cristo;Edmond Dantès;male;;
Q3426611;René Mathis;fictional character in the James Bond films Casino Royale and Quantum of Solace;René Mathis;male;;
