edition_id;edition_label;edition_description
Q19039311;An account of a voyage to establish a colony at Port Philip in Bass's Strait on the south coast of New South Wales;
Q54825818;スター・トレック 救世主の反乱;
Q22919195;Starověký Řím: temné dejiny;
Q26468029;Vzpomínky na vojenskou služebnost;
Q54825820;Spock, Messiah!;
Q15054684;The Unknown Soldier;
Q54825065;;
Q54825140;The Murdered Sun;
Q21274977;;
Q40158861;;
Q23928960;;
Q17372504;A Critique of Pure Tolerance (German edition, 1966);
Q41800220;The Art and Inventions of Max Fleischer (2017 McFarland ed.);
Q54824966;The Captains' Honor;
Q17166764;;
Q55262509;;
Q47467643;Alsos;
Q54825405;;
Q33020057;Bayesian Data Analysis;
Q54825673;;
Q15895151;International Code of Botanical Nomenclature (Saint Louis Code);
Q54825414;;
Q54821035;;
Q22969553;High Performance MySQL;
Q28936971;Walden, or, Life in the Woods;
Q20951224;O obrotach ciał niebieskich;
Q33515035;;
Q54824817;Battlestations!;
Q54824932;The Ashes Of Eden;
Q17414817;Беларуская энцыклапедыя: У 18 т. T. 18 Кн. 1: Дадатак: Шчытнікі — ЯЯ;
Q23011673;Bordeaux (fourth edition);
Q54932753;Mathematical Foundations of Computational Engineering: A Handbook;
Q33514119;;
Q18086926;;
Q54826133;Sanctuary;
Q54825592;Gods Above;
Q15635660;The Adventures of Pinocchio (Carol Della Chiesa 1926);
Q50915490;;
Q21160869;;
Q28137284;;
Q54825671;Open Secrets;
Q33057263;Restauration of paintings;
Q29203050;;
Q54821193;;
Q54826109;The Starless World;
Q9170726;;
Q54825957;;
Q19090582;Our Nig  or Sketches from the Life of a Free Black;
Q54821026;The Three-Minute Universe;
Q54825562;Gemworld, Book One;
Q20963630;Philosophiae Naturalis Principia Mathematica;
Q28350798;;
Q16104374;A People's Tragedy (original edition);
Q20950204;;
Q19142882;;
Q14703963;Mein Kampf in the Arabic language;
Q54825775;;
Q11896034;Batalo pri la domo Heikkilä;
Q15730975;La firmao de la kato, kiu pilkludas;
Q22294746;;
Q51795302;J.A. Komenského Labyrint světa a ráj srdce, to jest, Světlé vymalování, kterak v tom světě a věcech jeho všechněch nic není než matení ...;
Q24619653;Mason's World Encyclopedia of Livestock Breeds and Breeding;
Q35167489;;
Q23964137;O człowieku, który chciał być królem;
Q19756323;;
Q28888841;Fairchild's Dictionary of Textiles;
Q17399007;Туристская энциколпедия Беларуси;
Q28975923;The Encyclopedia of Civil Aircraft;
Q21190997;;
Q54825182;This Gray Spirit;
Q54825469;;
Q21162294;;
Q28137319;;
Q54824986;;
Q54825123;All Good Things…;
Q54825921;;
Q52634585;The communings with himself of Marcus Aurelius Antoninus;
Q15054599;North American F-86 Sabre;
Q28469716;sixth;
Q7744440;The King's Daughter;
Q54824544;;
Q54825078;;
Q19487549;Rip Van Winkle;
Q54825273;Reap the Whirlwind;
Q55676906;The History of the Standard Oil Company, Volume 1;
Q54821045;Spectre;
Q43584790;;
Q54826003;;
Q15212081;Histoire civile, phyisique et morale de Paris (3rd edition);
Q14739029;The Abridgement of The Gardeners Dictionary. 4th edition;
Q19756332;;
Q54826081;Precipice;
Q54824937;;
Q41640909;Artists of the World Online;
Q22067780;Ballot;
Q54825394;Mere Mortals;
Q23809256;Fishes of the World (4th edition);
Q40883486;;
Q9170728;;
Q54825026;;
Q3943129;Jakub Wujek Bible;
Q15513388;American Combat Planes New Revised Edition;
Q26831402;Samantha;
Q17378134;Беларуская энцыклапедыя: У 18 т. Т. 2: Аршыца — Беларусцы;
Q29047171;The Fairchild Books Dictionary of Textiles;
Q54824891;;
Q20204948;Persuasion (1836 translation by Pauline Westdahl);
Q21175608;;
Q24059963;;
Q54825119;;
Q50330250;Citlivý člověk;
Q54824996;;
Q19801078;Ancient Ballads and Legends of Hindustan;
Q8035681;World English Bible;
Q54821022;Double, Double;
Q50890722;Le Mystère d’Edwin Drood;
Q19022115;Canterbury Tales;
Q55658980;Riders of the Purple Sage;
Q1502139;Geneva Bible;
Q46998212;The Knights of the Cross;
Q44974329;Ninety-three;
Q55739724;The Autocrat of the Breakfast-Table;
Q23931092;Eva;
Q54825797;Yesterday's Son;
Q54825754;Recovery;
Q54820971;Rough Beasts of Empire;
Q42422192;Literaturtheorien des 20. Jahrhunderts (2010 Reclam ed.);
Q33514816;;
Q20157264;Bibliya;
Q54825494;;
Q42303674;Nil Durpan;
Q15732178;The Adventures of Werner Holt (vol. 1);
Q15525082;Chaplin: A Life (hardcover 4 ed.);
Q33514672;;
Q15060504;A Quick & Dirty Guide to War, Third Edition;
Q24788541;The PFA footballers' who's who 2008-09;
Q54824517;;
Q50727741;Dějiny magie;
Q38146440;Records of the Three Kingdoms;
Q52228791;La Brèche;
Q3233344;;
Q54825203;Echoes;
Q54825950;;
Q54825574;Power Hungry;
Q16735600;Wir (first German edition);
Q54826086;Vulcan's Glory;
Q47088678;La République;
Q54820959;;
Q54825278;Capture the Flag;
Q13416128;1st edition of The Sung Dynasty and its Precursors, 907–1279, Part 1;
Q54435765;Master the GRE;
Q3211134;;
Q54825646;Trials and Tribble-ations;
Q22205298;The Cricket Field;
Q18558964;The Path Marked Out (1st Edition);
Q24326926;Vanity Fair;
Q17441125;Perpetual Happiness: The Ming Emperor Yongle;
Q55407919;;
Q22261163;Cecily Parsley's Nursery Rhymes;
Q54824571;;
Q54825471;;
Q50331310;Å gurgle tjære;
Q20824052;;
Q54867444;;
Q43796635;The Art of War;
Q30125663;;
Q18676961;Mémoires historiques;
Q54824889;The Final Reflection;
Q21191058;Boska Komedia (Porębowicz);
Q20983946;The Amber Witch;
Q54825399;Balance of Power;
Q35167712;;
Q54825129;Timetrap;
Q20744372;Admiral Phillip;
Q54825715;;
Q23311220;;
Q54825033;;
Q49217964;;
Q54825132;Unification;
Q54825563;;
Q21190993;The Divine Comedy;
Q54820958;;
Q44061183;Fables and Parables;
Q54825902;Star Trek;
Q35972346;Antología de poetas vallisoletanos modernos (1914);
Q54825431;I, Q;
Q54825679;;
Q20748991;The History of the Sisters of Providence of Saint Mary-of-the-Woods, Volume I (1st Edition);
Q33127575;Leaves from my Chinese Scrapbook;
Q18668280;;
Q54826141;;
Q10602364;Normalupplagan;
Q54825013;The Edge;
Q52363681;The Island of Doctor Moreau;
Q54825654;;
Q54825621;;
Q54825756;;
Q55559548;The Pilgrim's Progress;
Q22294964;;
Q19944832;Biographical Dictionary of Twentieth-Century Philosophers (1996 ed.);
Q54826137;The Two-Front War;
Q54821075;The Pandora Principle;
Q17681239;;
Q50320076;Žert;
Q30190;81;
Q22905730;;
Q47883812;The History of the World;
Q24359614;Grammatica de Interlingua;
Q54825550;;
Q54825774;Black Fire;
Q54824646;;
Q18385111;Elementos de Arithmetica;
Q47091801;The Chimes;
Q15976400;Notice historique sur la chapelle Notre-Dame de Beauvais;
Q54825170;;
Q54825162;;
Q18086923;;
Q19064934;Greyfriar's Bobby;
Q22158356;;
Q54820989;Corona;
Q15606372;;
Q54824518;;
Q21175854;;
Q54821348;The Laertian Gamble;
Q54825075;The Battle of Betazed;
Q54824934;;
Q32861733;An Autobiography or The Story of my Experiments with Truth;
Q54825650;;
Q54825509;;
Q54824648;The Soul Key;
Q570121;Millennium Bible;
Q54825114;;
Q33514950;;
Q48060532;Jane's Weapon Systems 1972-73;
Q54825099;The Romulan Stratagem;
Q19080356;The Book of Martyrs;
Q19239811;;
Q54825648;The Final Nexus;
Q54825635;;
Q17329836;Larousse Encyclopedia online;
Q22262419;;
Q20160290;Dharmapustak;
Q20031690;New Schaff-Herzog Encyclopedia of Religious Knowledge (1908 ed.);
Q54825446;Imzadi;
Q54825091;;
Q54825320;Foreign Foes;
Q19036877;Alumni Oxonienses: the Members of the University of Oxford, 1715-1886;
Q19077716;The Alchemy of Happiness;
Q50331154;Strefa cyrkowa;
Q15631614;;
Q15892006;Bible Crampon 1923;
Q54826143;Second Nature;
Q54821775;Caretaker;
Q40026885;A Night in a Moorish Harem;
Q29095599;La servitù delle donne;
Q22666518;Čtyřhodinový pracovní týden;
Q54825869;;
Q50329984;Noćna smena;
Q54824965;;
Q54824929;;
Q15707237;Amtliches Ortsverzeichnis für Bayern (1991);
Q28113353;;
Q19211179;Les Grans et Merveilleux Faictz du Seigneur Nemo;
Q29418494;The Vietnam War Almanac;
Q54820990;;
Q29042798;Jane's World Aircraft Recognition Handbook, Fourth Edition;
Q19047690;Songs of the workers, 15th edition;
Q54820944;Rules Of Engagement;
Q15639843;Twenty Thousand Leagues Under the Seas;
Q54825920;;
Q54435817;Master the GRE;
Q54825453;Triangle: Imzadi II;
Q54826115;;
Q33514130;;
Q54825122;All Good Things…;
Q54826120;Reunion;
Q54825425;;
Q19232582;Vampyrismus;
Q29472028;;
Q18676877;Meng Tzeu (Couvreur);
Q52374200;;
Q19754968;L'Automne du patriarche;
Q54825587;;
Q19274603;;
Q30158610;Álbum artístico de Toledo (1848);
Q19070237;Summer;
Q54435774;Master the GRE;
Q55407906;;
Q19116746;New observations on inoculation;
Q28143111;;
Q19216625;Lexique étymologique du breton moderne;
Q53737351;;
Q54825858;;
Q51390999;Flora Oxoniensis, exhibens plantas in agro Oxoniensi sponte crescentes, secundum systema sexuale distributas;
Q54825496;Into the Void;
Q30085784;Yksi kamari - kaksi sukupuolta;
Q11145376;St. Wenceslaus Catholic Bible;
Q22295906;;
Q19905487;Esther;
Q54825325;Strangers from the Sky;
Q42081700;The World's Navies;
Q54825175;;
Q54825878;Star Trek: The Motion Picture;
Q54825202;;
Q54825572;;
Q42025554;;
Q15649726;Villen am Bonner Rheinufer: 1819–1914;
Q17502094;Galería biográfica de artistas españoles del siglo XIX (1868);
Q22703983;Institutes coutumières (1607);
Q54824500;;
Q54824971;Ice Trap;
Q54820935;Ancient Blood;
Q42944503;;
Q50323291;Hovno hoří;
Q54825430;;
Q54825437;;
Q26237345;;
Q54825677;;
Q54826011;The Expanse;
Q19082781;Book of Mormon;
Q26162457;;
Q54825015;;
Q24278904;Notices sur les rues de Rennes;
Q47007804;The Annotated Lolita (1991 Vintage Books ed.);
Q54825489;;
Q21173268;Dictionary of Battles and Sieges: P-Z;
Q15891248;Dictionnaire touareg-français;
Q18342263;Understanding Greek vases (1st edition);
Q22674874;;
Q54030585;Vedute delle ville e d'altri luoghi della Toscana, 1757 edition;
Q47482006;;
Q54825693;Strike Zone;
Q19176105;;
Q54825988;;
Q29190377;The Journey of Modern Theology (1st ed.);
Q19028559;Flatland, 1st edition;
Q7770906;The Two Baronesses;
Q54825218;Field Trip;
Q28031373;Aaron's Rod;
Q21855601;Danes Are Like That!;
Q19076523;Bible (American Standard);
Q1240869;Douay–Rheims Bible;
Q53951723;Beirut Shahnameh;
Q54825639;;
Q54825575;;
Q54824989;Vulcan!;
Q51330094;;
Q21190973;La comedia (1878, Febrer);
Q28123306;Parmenides;
Q54825073;Blaze of Glory;
Q20897972;Notes on Rubik's 'Magic Cube' (5th edition);
Q22666402;Elon Musk: Tesla, SpaceX a hledání fantastické budoucnosti;
Q35171294;;
Q54821846;;
Q50727199;Dějiny magie;
Q54825559;;
Q54825124;;
Q54821203;;
Q50331237;Zone cirque;
Q12355090;Servokapabla!  Marcus Tybout;
Q5941687;Shahnameh of Rashida;
Q33514739;;
Q22807050;;
Q18175721;The Problems of Philosophy;
Q44911054;;
Q28969511;Institutes coutumières (1783);
Q15895076;International Code of Nomenclature for algae, fungi, and plants (Melbourne Code);
Q54825666;Avatar, Book Two;
Q54826078;Betrayal;
Q54825499;;
Q55591820;The Pilgrim's Progress;
Q33514731;;
Q33515100;;
Q54825006;;
Q14265955;Kto jest kim w Białorusi;
Q26995154;The Death of a Government Clerk. The Blind Musician;
Q50869163;Institutes coutumières (1637);
Q54435762;Master the GRE;
Q54621378;Real Numbers, Generalizations of the Reals, and Theories of Continua;
Q55686473;The Five Thousand Dictionary (1979);
Q16395222;The Secret Journal of Zhao Ziyang;
Q14640734;The Gardeners Dictionary. (8th edition);
Q54821394;;
Q54821403;;
Q21004978;A Christmas Tree and a Wedding;
Q1976344;Biblioteka Dlya Chteniya;
Q54821010;Daedalus's Children;
Q18086924;;
Q42904094;Hamlet and Oedipus;
Q17095257;;
Q54825069;;
Q54825852;Spock Must Die!;
Q18668211;;
Q54821834;The Cry Of The Onlies;
Q21187441;;
Q41530293;The conditions of agricultural growth;
Q44272937;Un cheval dans la salle de bains;
Q50326809;Nesnesitelná lehkost bytí;
Q17645484;;
Q24531504;Introduction à la philosophie védanta;
Q54825244;A Rock and a Hard Place;
Q24271182;Poselství ze srdce světa;
Q43795466;Dr. Esperanto's International Tongue;
Q28350897;;
Q47452380;;
Q54825586;Dreams Of The Raven;
Q50279322;The Thoughts of the Emperor Marcus Aurelius Antoninus;
Q54821053;;
Q38058680;Big moments of Cypriot Football 1934-2014 (1st edition);
Q18669651;;
Q16055043;The Red Dawn;
Q19274598;;
Q35168847;;
Q54826057;;
Q54824980;Grounded;
Q5805827;Die natürlichen Pflanzenfamilien, 2nd edition;
Q54825334;;
Q19689956;GesichterWissen;
Q54824521;;
Q54825676;;
Q20644574;;
Q28939212;Dictionary of Textiles;
Q30552268;The Soul of a Bishop;
Q15715309;Amtliches Ortsverzeichnis für Bayern (1978);
Q27957192;Broučci;
Q19102705;The World Factbook, 1982;
Q43538254;Euthyphron;
Q54825275;;
Q54825433;;
Q47882807;;
Q54825792;Sockwave;
Q21401229;Popular Chess Variants (1st edition);
Q54825184;;
Q15976340;Martindale: The Complete Drug Reference (37. ed.);
Q54825753;;
Q54825619;;
Q54824982;;
Q54821003;;
Q17376190;"Krynica". Ideologia i przywódcy białoruskiego katolicyzmu;
Q54826153;;
Q54969094;Tom Swift in the City of Gold;
Q54825744;Rossetta;
Q22264465;L'interprétation des pictogrammes;
Q19679855;Guerra de' topi e delle rane;
Q1786390;Bible of Kralice;
Q21175851;;
Q54825100;;
Q46433950;The Divine Comedy, Volume I;
Q54825899;Star Trek: Nemesis;
Q21206586;;
Q54825138;To Brave the Storm;
Q54825256;;
Q25861202;Disappearance;
Q19065874;My Life and Work;
Q15730835;Orientaj fabeloj;
Q16948455;Saturn und Melancholie (German edition 1990);
Q54824866;Q-Strike;
Q54825708;Q-Squared;
Q54821074;;
Q27688969;;
Q54824897;;
Q19239782;;
Q54825799;;
Q53676578;Shahnamah of Ibrahim Sultan;
Q19967013;The Elements of Euclid for the Use of Schools and Colleges;
Q21685500;Doveri dell'uomo;
Q54825314;;
Q40759913;Concrete Mathematics, 1989 edition;
Q22666550;Zbraně vlivu;
Q16707881;Die Briefe vom Weihnachtsmann (1977 edition);
Q54821037;;
Q28940857;Embroidery;
Q54833990;;
Q54821072;;
Q54824973;;
Q19841719;Grove Dictionary of American Music (2nd edition);
Q54820936;;
Q54825332;Battle Lines;
Q33515116;;
Q54824541;;
Q19152132;The Spirit of the Laws, 1772 French edition;
Q43102899;;
Q15629339;The bible of Peter Fjellstedt;
Q54825448;;
Q17411821;La Religion des Celtes;
Q21267312;;
Q55169535;Asterisk: The Future of Telephony;
Q18707164;La Città del Sole (1623);
Q21191070;Božanska komedija (Debevec);
Q33515132;;
Q22827388;;
Q28137315;;
Q54824796;;
Q54825329;;
Q29178057;;
Q54826114;;
Q54879094;Star Trek The Next Generation Technical Manual;
Q50319928;Žert;
Q15838995;;
Q18908087;;
Q29868613;History of Alabama and Dictionary of Alabama Biography, Volume IV;
Q48450153;;
Q28147274;;
Q54825877;;
Q51515159;The origin of species by means of natural selection, or, The preservation of favored races in the struggle for life;
Q15266688;Dictionnaire des Parlementaires français de 1789 à 1889 (volume 1);
Q22116624;;
Q27624985;Orbis pictus v řeči české a německé;
Q23055292;The Absentee (Penguin Classics edition);
Q15053388;Brassey's Artillery of the World;
Q338373;New World Translation of the Holy Scriptures;
Q54826015;The Left Hand of Destiny Book 2;
Q55170500;Asterisk: The Future of Telephony;
Q43795825;An Attempt Towards An International Language;
Q33514677;;
Q48333737;;
Q18086922;Os dias passam...;
Q19025640;A Simplified Grammar of the Swedish Language;
Q29095512;De l’assujettissement des femmes;
Q54825933;;
Q52277762;;
Q54825546;Crossroad;
Q52411285;Fitschen Gehölzflora, 13th edition;
Q40975186;Genera Plantarum (4th edition);
Q54825461;;
Q54825502;;
Q19068948;Critique of Pure Reason;
Q42534635;Zadig;
Q47011189;;
Q54825912;;
Q29784183;Celestinské proroctví;
Q7742706;The Islander;
Q54821503;Fortune's Light;
Q12351452;Legendoj;
Q22693228;Institutes coutumières (1710);
Q54825358;Fallen Heroes;
Q54824959;;
Q54821507;Losing the Peace;
Q54824988;Vulcan!;
Q28657313;Broučci;
Q19082774;Book of Mormon;
Q54825758;Saratoga;
Q22260959;The Tale of Pigling Bland;
Q54826016;The Lives of Dax;
Q51796760;Kámen mudrců;
Q54824946;The Badlands, Book Two;
Q18086918;Fados, canções e dansas de Portugal;
Q19538319;;
Q54821050;The Devil's Heart;
Q26467757;V temných barvách, I;
Q54825568;;
Q29095659;Em Tradução:A Sujeição das Mulheres;
Q54826007;The Autobiography of James T. Kirk;
Q54824991;;
Q54825637;Nightshade;
Q54820934;;
Q54826064;;
Q33514999;;
Q19078494;The Art of Controversy;
Q28927460;;
Q54824503;;
Q23317798;;
Q19194943;;
Q54825145;;
